30
Move: [[0, 1], [0, 2]], Branchs branches: 20
Move: [[0, 1], [0, 3]], Branchs branches: 20
Move: [[1, 1], [1, 2]], Branchs branches: 20
Move: [[1, 1], [1, 3]], Branchs branches: 20
Move: [[2, 1], [2, 2]], Branchs branches: 20
Move: [[2, 1], [2, 3]], Branchs branches: 20
Move: [[3, 1], [3, 2]], Branchs branches: 20
Move: [[3, 1], [3, 3]], Branchs branches: 20
Move: [[4, 3], [4, 4]], Branchs branches: 19
Move: [[5, 1], [5, 2]], Branchs branches: 20
Move: [[5, 1], [5, 3]], Branchs branches: 20
Move: [[6, 1], [6, 2]], Branchs branches: 20
Move: [[6, 1], [6, 3]], Branchs branches: 20
Move: [[7, 1], [7, 2]], Branchs branches: 20
Move: [[7, 1], [7, 3]], Branchs branches: 20
Move: [[1, 0], [2, 2]], Branchs branches: 20
Move: [[1, 0], [0, 2]], Branchs branches: 20
Move: [[6, 0], [7, 2]], Branchs branches: 20
Move: [[6, 0], [5, 2]], Branchs branches: 20
Move: [[6, 0], [4, 1]], Branchs branches: 20
Move: [[3, 0], [4, 1]], Branchs branches: 20
Move: [[3, 0], [5, 2]], Branchs branches: 20
Move: [[3, 0], [6, 3]], Branchs branches: 20
Move: [[3, 0], [7, 4]], Branchs branches: 19
Move: [[4, 0], [4, 1]], Branchs branches: 20
Move: [[5, 0], [4, 1]], Branchs branches: 20
Move: [[5, 0], [3, 2]], Branchs branches: 20
Move: [[5, 0], [2, 3]], Branchs branches: 20
Move: [[5, 0], [1, 4]], Branchs branches: 19
Move: [[5, 0], [0, 5]], Branchs branches: 19
